match_id,actual_sum_fantasy_points,predicted_sum_fantasy_points,error,percentage_error
1276907,336,718.8192270617401,382.8192270617401,113.93429376837503
1276908,1102,944.7299593119227,-157.2700406880773,14.271328556086871
1276909,1105,864.3475526929944,-240.65244730700556,21.778502018733533
1276910,1182,886.5876221294224,-295.41237787057764,24.992586960285756
1276911,955,874.0704586579933,-80.9295413420067,8.474297522723214
1276912,253,854.6502999840328,601.6502999840328,237.80644268143593
1297935,782,662.0999238019673,-119.9000761980327,15.332490562408275
1297936,969,546.5785673333957,-422.42143266660435,43.59354310284875
1297937,984,710.0299321112543,-273.9700678887457,27.84248657405952
1297938,1061,721.7968763300324,-339.20312366996757,31.970134181900807
1297939,991,759.4455184785492,-231.55448152145084,23.365739810439035
1297940,1187,694.5024914629748,-492.49750853702517,41.49094427439134
1297941,1050,746.0293041474131,-303.9706958525869,28.949590081198757
1297942,1017,745.3355404075263,-271.6644595924737,26.712336243114425
1297947,924,719.6708049215054,-204.32919507849465,22.113549250919334
1297948,1061,601.7144993035199,-459.2855006964801,43.287983100516506
1297949,1006,734.5137461239681,-271.4862538760319,26.986705156663216
1297950,1138,653.2482435871325,-484.7517564128675,42.596815150515596
1297951,916,585.98184105321,-330.01815894679,36.028183291134276
1297952,922,668.4785112231955,-253.52148877680452,27.496907676443005
1297953,1007,689.4279161719184,-317.57208382808165,31.536453210335814
1297954,1068,674.1217409724953,-393.87825902750467,36.879986800328155
1297955,695,705.8140267360756,10.814026736075562,1.5559750699389296
1297956,939,713.7369866928989,-225.26301330710112,23.989671278711512
1297957,626,728.9893536542834,102.98935365428338,16.451973427201818
1297958,1034,745.0052165714117,-288.99478342858833,27.949205360598484
1297960,1098,545.2998493721502,-552.7001506278498,50.33699003896628
1297961,932,558.0146283709004,-373.98537162909963,40.1271857971137
1297962,1247,763.7934691051838,-483.2065308948162,38.74952132275992
1297963,1328,609.1099168990623,-718.8900831009377,54.13328939013085
1297964,776,617.4541912172989,-158.5458087827011,20.431160925605813
1297965,1219,785.7817887223644,-433.21821127763565,35.53881962901031
1297966,1370,767.7986605634535,-602.2013394365465,43.95630214865303
1297967,616,753.8518944203944,137.8518944203944,22.37855428902506
1297968,922,683.1167115472131,-238.88328845278693,25.909250374488824
1297969,1089,696.862310715256,-392.13768928474406,36.00897054956327
1297970,1090,666.3943725517952,-423.6056274482048,38.862901600752735
1297971,1415,682.9611882773374,-732.0388117226626,51.73419164117756
1297972,1000,849.2868533457213,-150.71314665427872,15.07131466542787
1297973,915,724.9678967793875,-190.0321032206125,20.76853587110519
1297974,1221,763.3014025252747,-457.69859747472526,37.48555261873261
1297975,884,719.036534351879,-164.96346564812097,18.66102552580554
1297976,1375,770.6902912783437,-604.3097087216563,43.94979699793864
1297977,1140,755.7731567081321,-384.2268432918679,33.70410906069017
1297978,683,785.0760621174371,102.07606211743712,14.945250676052288
1297979,1011,801.8748452638642,-209.12515473613576,20.68498068606684
1297980,1048,728.1618848333367,-319.83811516666333,30.518904118956424
1297981,1102,784.5772980738981,-317.4227019261019,28.804237924328667
1297982,1181,689.3100211729586,-491.6899788270414,41.633359765202485
1297983,937,786.2108787279092,-150.78912127209082,16.092755738750355
1297984,1260,798.4056034095697,-461.5943965904303,36.63447591987542
1297985,1420,655.600261802641,-764.399738197359,53.830967478687256
1297986,1200,836.6974753239612,-363.30252467603884,30.275210389669905
1297987,1045,756.2370858401873,-288.7629141598127,27.632814752135186
1297988,1391,828.0656066026784,-562.9343933973216,40.46976228593254
1297989,1194,705.2229443027218,-488.77705569727823,40.93610181719248
1297990,1001,818.1973966407614,-182.80260335923856,18.26199833758627
1297991,1482,840.8968301836309,-641.1031698163691,43.259323199485095
1297992,1115,746.779490405455,-368.220509594545,33.024260950183404
1297993,1347,749.5945836029392,-597.4054163970608,44.35081042294438
1297994,993,728.3629440596231,-264.63705594037685,26.650257395808342
1297995,954,828.7272631322969,-125.27273686770309,13.131314137075794
1297996,1163,806.4374531138392,-356.5625468861608,30.65886043733111
1297997,1115,824.4696333848735,-290.53036661512647,26.056535122432866
1297998,1265,806.8826036999452,-458.1173963000548,36.21481393676322
1297999,1158,692.5979395356687,-465.40206046433127,40.190160661859345
1298000,1308,707.9846460041939,-600.0153539958061,45.8727334859179
1298002,976,852.2105601601805,-123.78943983981947,12.683344245883141
1298003,844,788.6174864209233,-55.38251357907666,6.561909191833728
1298004,767,745.635383550095,-21.364616449905043,2.785478024759458
1298005,1076,834.0888846028186,-241.91111539718145,22.482445668883035
1298006,849,812.6939059513716,-36.30609404862844,4.276336165916188
1298007,801,671.3403150728574,-129.65968492714262,16.187226582664497
1298008,1140,893.1056446622546,-246.89435533774542,21.6573995910303
1298009,887,803.5519182585815,-83.44808174141849,9.407900985503776
1298010,1132,761.5479648186232,-370.4520351813768,32.72544480400855
