match_id,player_id,actual_fantasy_points,predicted_fantasy_points,error,absolute_error,percentage_absolute_error
1308234,6b35790c,0,0.5371182186406318,0.5371182186406318,0.5371182186406318,-1.0
1308234,9a1405c8,0,0.5371182186406318,0.5371182186406318,0.5371182186406318,-1.0
1308234,ed840f44,11,41.97879236336265,30.97879236336265,30.97879236336265,281.62538512147864
1308234,9714e764,0,31.984273846060724,31.984273846060724,31.984273846060724,-1.0
1308234,b4f73b44,32,50.921802088758156,18.921802088758156,18.921802088758156,59.13063152736924
1308234,3c89fc88,0,0.5371182186406318,0.5371182186406318,0.5371182186406318,-1.0
1308234,2e4f11e9,37,13.323709260751917,-23.67629073924808,23.67629073924808,63.98997497094076
1308234,3d689960,83,32.400339557344154,-50.599660442655846,50.599660442655846,60.96344631645283
1308234,1b1c23bb,2,35.94156541847778,33.94156541847778,33.94156541847778,1697.078270923889
1308235,821d7d46,30,33.43035852232382,3.4303585223238215,3.4303585223238215,11.434528407746072
1308235,ca3ded6f,66,14.042410323169205,-51.95758967683079,51.95758967683079,78.7236207224709
1308235,72c9ad99,9,35.9276127152525,26.9276127152525,26.9276127152525,299.1956968361389
1308235,f19c8dc0,87,7.339848302813865,-79.66015169718614,79.66015169718614,91.56339275538636
1308235,d284ef29,31,33.108981568537004,2.108981568537004,2.108981568537004,6.803166350119367
1308235,86fdf668,14,24.646939923442936,10.646939923442936,10.646939923442936,76.04957088173526
1308235,c981d3c2,69,32.3571957403898,-36.6428042596102,36.6428042596102,53.10551341972493
1308235,2e4f11e9,16,14.322764189584284,-1.6772358104157163,1.6772358104157163,10.482723815098227
1308235,b4f73b44,20,46.46493143806497,26.464931438064973,26.464931438064973,132.32465719032487
1308235,397369e0,11,39.392569866773975,28.392569866773975,28.392569866773975,258.114271516127
1308235,6ee11109,25,1.1303854894609402,-23.86961451053906,23.86961451053906,95.47845804215623
1308235,d8f20ba5,53,35.56454476763866,-17.435455232361342,17.435455232361342,32.897085344078
1308235,1b1c23bb,34,37.15032200346262,3.1503220034626196,3.1503220034626196,9.265652951360646
1308235,e8fa03ed,48,20.606627350350077,-27.393372649649923,27.393372649649923,57.06952635343734
1308235,2904b4b6,42,28.772311714418045,-13.227688285581955,13.227688285581955,31.494495918052273
1308235,07248d8e,79,43.20209798408981,-35.79790201591019,35.79790201591019,45.313800020139475
1308235,9a1405c8,0,0.5371182186406318,0.5371182186406318,0.5371182186406318,-1.0
1308235,3d689960,153,32.632718285092196,-120.3672817149078,120.3672817149078,78.67142595745608
1308235,1b9d1579,42,17.755230204159695,-24.244769795840305,24.244769795840305,57.725642371048345
1308235,ea9c54de,41,45.97925885346584,4.9792588534658435,4.9792588534658435,12.144533788941082
1308235,3c89fc88,0,0.5371182186406318,0.5371182186406318,0.5371182186406318,-1.0
1308235,50ee0500,82,37.91970650044687,-44.08029349955313,44.08029349955313,53.75645548725991
1308235,5a50471c,6,38.79737396487478,32.79737396487478,32.79737396487478,546.6228994145797
1308235,3b770527,70,30.145808341477828,-39.85419165852217,39.85419165852217,56.93455951217453
1308235,6b35790c,0,0.5371182186406318,0.5371182186406318,0.5371182186406318,-1.0
1308235,ed0bc503,0,0.5371182186406318,0.5371182186406318,0.5371182186406318,-1.0
1343683,dcbea954,30,24.961518489610143,-5.0384815103898575,5.0384815103898575,16.794938367966193
1343683,79b4839e,61,34.060433570031854,-26.939566429968146,26.939566429968146,44.163223655685485
1343683,8603d942,0,0.5371182186406318,0.5371182186406318,0.5371182186406318,-1.0
1343683,adbf0400,77,39.72326915280783,-37.27673084719217,37.27673084719217,48.41133876258723
1343683,fb0a571f,0,0.5371182186406318,0.5371182186406318,0.5371182186406318,-1.0
