Actual_Fantasy_Points,Predicted_Fantasy_Points,Absolute_Error,Percentage_Error
51,32.394947,18.605052947998047,36.480495976466756
6,43.18752,37.18751907348633,619.7919845581055
-2,36.54305,38.54304885864258,1927.152442932129
85,53.306572,31.69342803955078,37.28638592888327
0,38.628628,38.62862777709961,inf
0,7.3184876,7.318487644195557,inf
83,24.708776,58.29122352600098,70.23038979036262
8,45.16205,37.16204833984375,464.5256042480469
63,48.516903,14.483097076416016,22.98904297843812
0,31.481585,31.481584548950195,inf
40,50.19078,10.190780639648438,25.476951599121094
34,45.769608,11.769607543945312,34.61649277630974
79,40.41167,38.58832931518555,48.84598647491841
9,27.28341,18.283409118652344,203.14899020724826
0,47.802807,47.80280685424805,inf
30,33.950916,3.950916290283203,13.169720967610676
45,53.375877,8.375877380371094,18.613060845269096
8,55.6788,47.67879867553711,595.9849834442139
45,48.485558,3.4855575561523438,7.745683458116319
6,43.896496,37.8964958190918,631.60826365153
11,49.439816,38.439815521240234,349.45286837491125
33,40.490395,7.490394592285156,22.69816543116714
18,51.113064,33.11306381225586,183.96146562364365
0,7.3184876,7.318487644195557,inf
0,7.3184876,7.318487644195557,inf
63,34.47321,28.526790618896484,45.28062002999442
0,7.3184876,7.318487644195557,inf
38,38.218555,0.21855545043945312,0.5751459222090871
-3,39.146397,42.14639663696289,1404.8798878987632
32,61.302216,29.302215576171875,91.56942367553711
95,48.133823,46.86617660522461,49.3328174791838
0,7.3184876,7.318487644195557,inf
3,44.373154,41.37315368652344,1379.1051228841147
26,44.50564,18.505638122558594,71.17553124060998
27,28.205116,1.2051162719726562,4.463393599898727
-4,40.06737,44.0673713684082,1101.684284210205
12,46.011524,34.01152420043945,283.4293683369955
50,38.709118,11.290882110595703,22.581764221191406
75,37.458992,37.54100799560547,50.05467732747396
0,7.3184876,7.318487644195557,inf
76,35.44528,40.55472183227539,53.361476095099206
0,6.4419174,6.441917419433594,inf
16,49.74667,33.74666976928711,210.91668605804443
-2,42.64279,44.642791748046875,2232.1395874023438
60,42.104324,17.895675659179688,29.82612609863281
6,49.80669,43.80669021606445,730.1115036010742
29,42.40128,13.40127944946289,46.21130844642376
20,50.06962,30.069618225097656,150.34809112548828
4,35.016464,31.016464233398438,775.4116058349609
67,41.378647,25.621353149414062,38.2408255961404
25,44.57897,19.57897186279297,78.31588745117188
93,64.68176,28.3182373046875,30.449717531922044
61,55.250774,5.749225616455078,9.424960026975537
29,35.17633,6.17633056640625,21.297691608297413
22,38.235775,16.235774993896484,73.79897724498402
59,58.163807,0.8361930847167969,1.4172764147742318
2,27.766361,25.766361236572266,1288.3180618286133
58,38.043793,19.956207275390625,34.40725392308728
1,48.030838,47.03083801269531,4703.083801269531
0,7.3184876,7.318487644195557,inf
4,47.831924,43.83192443847656,1095.798110961914
0,47.788128,47.78812789916992,inf
65,46.381493,18.618507385253906,28.643857515775238
42,52.852234,10.85223388671875,25.838652111235117
97,56.70311,40.29689025878906,41.54318583380316
54,57.320133,3.3201332092285156,6.148394831904659
0,7.3184876,7.318487644195557,inf
7,7.3184876,0.31848764419555664,4.549823488507952
221,46.31685,174.6831512451172,79.0421498846684
68,38.661587,29.33841323852539,43.14472535077263
55,65.47127,10.471267700195312,19.03866854580966
0,7.3184876,7.318487644195557,inf
52,48.541195,3.4588050842285156,6.651548238900992
0,45.15277,45.15277099609375,inf
10,37.714558,27.714557647705078,277.1455764770508
11,30.770525,19.770524978637695,179.7320452603427
55,59.492035,4.492034912109375,8.167336203835228
70,49.227764,20.772235870361328,29.674622671944757
29,35.556747,6.5567474365234375,22.609473919046337
108,35.4537,72.54629898071289,67.17249905621564
0,49.56906,49.569061279296875,inf
1,57.117134,56.11713409423828,5611.713409423828
0,7.3184876,7.318487644195557,inf
0,7.3184876,7.318487644195557,inf
