player_id,player_name,batting_innings,bowling_innings,total_runs_scored,total_balls_faced,total_fours,total_sixes,total_catches,total_runouts,total_balls_bowled,total_dot_balls,total_wickets,total_LBWs/Bowled,total_runs_conceded,total_stumpings
d733d125,C Yudian,1,0,15,6,2,0,0,0,0,0,0,0,0,0
c06ae98e,C Appel,1,2,0,11,0,0,0,0,24,11,1,1,22,0
10de03e4,SL Hungerford,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6cedc2a1,C Hill,0,1,0,0,0,0,0,0,13,9,0,0,14,0
6aa5e5ac,KM Applebee,3,0,36,47,6,0,2,0,0,0,0,0,0,0
67704b7a,JCL Wallace,2,0,37,39,5,0,3,0,0,0,0,0,0,1
4d4ffcf5,H Perry,0,1,0,0,0,0,0,0,12,3,0,0,19,0
cb41cde5,CE Brock,1,1,31,30,2,0,0,0,6,2,0,0,7,0
1b63aef2,J Taffs,1,0,7,11,0,0,0,0,0,0,0,0,0,0
e663d8d7,BC Binch,1,1,3,3,0,0,0,0,19,10,1,0,15,0
ff18508b,K Lamb,0,1,0,0,0,0,0,0,6,0,0,0,9,0
78158fc6,GL Walker,0,1,0,0,0,0,0,0,20,4,0,0,49,0
a09eb585,A Ayre,1,0,0,1,0,0,0,0,0,0,0,0,0,0
c14721ab,Sayan Mondal,6,6,146,131,12,2,1,1,110,27,3,1,165,0
b7892352,Pankaj Shaw,5,2,52,50,5,1,3,0,19,4,0,0,42,0
1ed99f80,Jaweed Ali,3,0,50,28,7,1,2,0,0,0,0,0,0,0
3fbc5cc9,RM Dagar,2,1,19,28,2,0,2,0,6,1,0,0,6,0
d851756a,MS Hooda,4,0,142,150,8,2,0,0,0,0,0,0,0,0
f54bcda9,Sanjay Budhwar,1,2,0,3,0,0,0,0,41,10,0,0,46,0
0bb51ea6,Mayank Sidhana,5,0,39,41,5,0,2,0,0,0,0,0,0,0
fdd6edff,Himanshu Chawla,4,0,67,40,7,3,1,0,0,0,0,0,0,0
77e32481,Gitansh Khera,2,0,31,40,1,1,3,2,0,0,0,0,0,3
4738ba32,Kukna Ajay Singh,1,2,0,1,0,0,1,0,42,11,2,1,50,0
6223636a,PR Yadav,3,1,36,47,4,0,1,0,7,2,1,0,18,0
8d83e97a,VA Jagadeesh,8,7,84,95,7,0,3,0,116,32,6,2,145,0
ec6d3617,Syed Sagar,4,4,8,20,0,0,0,0,70,19,1,1,86,0
a9272860,Zahoor Sofi,4,4,20,36,2,0,1,0,57,20,2,0,74,0
94ed3e4b,Rohit Sharma,3,5,5,14,1,0,0,0,91,41,1,0,97,0
3c9b7d18,Jaydev Shah,5,0,68,88,6,3,1,1,0,0,0,0,0,0
d6d52545,SC Das,2,2,15,26,2,0,0,0,30,5,1,0,47,0
6794586e,RD Banik,5,2,45,72,3,0,1,0,18,4,1,0,37,0
9aba55e5,PI Solanki,0,0,0,0,0,0,1,2,0,0,0,0,0,0
c59fdb7f,K Makwana,1,2,6,14,0,0,2,0,31,7,2,0,47,0
43b01577,Koripalli Sreekanth,4,0,70,87,7,2,0,0,0,0,0,0,0,0
d5eed764,A G Pradeep,5,0,51,59,7,0,1,0,0,0,0,0,0,0
eb87663e,Jyothi Sai Krishna,5,0,58,73,5,0,2,1,0,0,0,0,0,0
748c4d3b,Bodavarapu Sudhakar,4,5,21,28,2,0,0,0,97,46,7,5,111,0
2712898a,Sirla Srinivas,6,6,105,94,8,5,2,0,101,38,5,2,118,0
bfcff6cd,Manan Sharma,2,7,21,16,1,1,2,0,152,58,9,3,206,0
5407500f,Praveen Deshetti,3,0,48,49,9,0,0,0,0,0,0,0,0,0
6ee6b491,KR Mahajan,0,2,0,0,0,0,0,0,19,7,1,1,25,0
83787fde,Tukuna Sahoo,3,4,15,23,2,0,2,1,60,16,3,1,67,0
6b94cc0b,Bikas Pati,2,0,19,26,3,0,0,0,0,0,0,0,0,0
e1fcde86,Rosan Kumar Rao,3,0,39,56,2,0,1,0,0,0,0,0,0,1
47f75983,Alok Sahoo,4,5,59,56,3,3,2,0,103,42,2,1,124,0
09cb47d4,Deepak Behera,3,5,11,15,1,0,2,0,106,50,8,4,131,0
ccc4756d,Basant Mohanty,0,5,0,0,0,0,0,0,120,47,5,1,154,0
9fd83fec,Mohammed Taha,4,0,86,80,10,3,0,1,0,0,0,0,0,0
4b2056c7,Raushan Raj,3,5,23,23,2,0,0,1,125,54,11,2,135,0
549fdc26,D Rai,1,3,6,4,1,0,0,0,61,23,3,1,72,0
17f7177e,SR Swain,5,0,52,42,7,0,2,1,0,0,0,0,0,0
4a65051a,HH Khadiwale,3,0,22,24,3,0,0,0,0,0,0,0,0,0
