match_id,player_id,player_name,runs_scored,balls_faced,no_of_fours,no_of_sixes,no_of_catches,runouts,balls_bowled,dot_balls,wickets,LBWs/Bowled,runs_conceded,stumpings,out,date,venue,match_type,gender,team_name,fantasy_points,career_batsman_100s,career_batsman_50s,career_batsman_average_runs_per_match,career_batsman_strike_rate,career_batsman_total_runs,career_bowler_average,career_bowler_economy_rate,career_bowler_wickets,career_fielder_total_catches,career_fielder_total_runouts,recentform_batsman_100s,recentform_batsman_50s,recentform_average_runs_per_match,recentform_strike_rate,recentform_total_runs,recentform_bowler_average,recentform_bowler_economy_rate,recentform_bowler_wickets,recentform_fielder_total_catches,recentform_fielder_total_runouts
63963,bde6e9ef,AV Jayaprakash,0,0,0,0,0,0,0,0,0,0,0,0,DNB,2001-12-19,Bengaluru,Test,male,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,f44af07f,C White,39,93,6,0,0,0,48,38,0,0,26,0,out,2001-12-19,Bengaluru,Test,male,England,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,96d3958e,D Dasgupta,0,7,0,0,2,1,0,0,0,0,0,0,out,2001-12-19,Bengaluru,Test,male,India,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,a6a32a61,DT Lindsay,0,0,0,0,0,0,0,0,0,0,0,0,DNB,2001-12-19,Bengaluru,Test,male,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,a4af4849,AF Giles,28,80,3,0,0,0,204,175,1,0,74,0,out,2001-12-19,Bengaluru,Test,male,England,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,3134d083,F Gomes,0,0,0,0,0,0,0,0,0,0,0,0,DNB,2001-12-19,Bengaluru,Test,male,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,8b5b6769,Harbhajan Singh,8,27,0,0,0,0,163,124,0,0,60,0,out,2001-12-19,Bengaluru,Test,male,India,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,bad31fac,J Srinath,2,5,0,0,0,0,198,146,4,0,92,0,not out,2001-12-19,Bengaluru,Test,male,India,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,e68dd455,JS Foster,48,142,4,0,2,0,0,0,0,0,0,1,out,2001-12-19,Bengaluru,Test,male,England,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63963,dc63f509,EAR de Silva,0,0,0,0,0,0,0,0,0,0,0,0,DNB,2001-12-19,Bengaluru,Test,male,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
