match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1415081,8479a24a,KK Jennings,54,All-Rounder,Lancashire,27.48900328202982
1415081,fdd5ba1e,Harry Singh,53,Bowler,Lancashire,1.047496500387494
1415081,861eed37,WSA Williams,50,Bowler,Lancashire,43.66807804423941
1415081,1db6e336,BS McKinney,49,Batsman,Durham,9.981847636360202
1415081,f92c9151,TC Bruce,22,Wicket-Keeper,Lancashire,1.047496500387494
1415082,a510bdd3,EG Barnard,284,All-Rounder,Warwickshire,50.541363493056146
1415082,81efec30,NLJ Browne,91,Wicket-Keeper,Essex,14.4204029012169
1415082,715941c3,MGK Burgess,88,Wicket-Keeper,Warwickshire,26.767465878052064
1415082,42ee1d76,CWJ Allison,84,Batsman,Essex,21.17387901070321
1415082,c2e5539b,LM Benkenstein,83,All-Rounder,Essex,17.86951260798549
1415082,e0ac7144,OJ Hannon-Dalby,79,Bowler,Warwickshire,42.29631694752919
1415082,f54dbda7,WMH Rhodes,78,All-Rounder,Warwickshire,43.107063791588914
1415082,3581a798,RM Yates,58,All-Rounder,Warwickshire,20.711968953254996
1415082,25a42048,T Westley,55,All-Rounder,Essex,30.64838964306901
1415082,734344b3,RJ Das,45,Batsman,Essex,19.51581714068793
1415082,04cd872b,JA Richards,42,Bowler,Essex,43.053616495204146
1415083,d6663a9a,EJ Pollock,239,Batsman,Worcestershire,18.134508768393765
1415083,7081848a,GH Roderick,177,Wicket-Keeper,Worcestershire,23.82556109947074
1415083,1b77f62b,MD Stoneman,104,Batsman,Middlesex,28.013032728132018
1415083,aae2eb6c,HC Darley,103,Bowler,Worcestershire,1.047496500387494
1415083,ddee4125,TG Sturgess,87,Bowler,Worcestershire,1.047496500387494
1415083,86781001,JE Home,79,Bowler,Worcestershire,1.047496500387494
1415083,ad8cb396,RP Jones,50,Batsman,Worcestershire,32.099363728075204
1415083,6ce9f3eb,EA Brookes,37,All-Rounder,Worcestershire,19.178843106632392
1415083,2085e1fa,HJH Brookes,33,Bowler,Middlesex,55.20115057122394
1415083,d26e0405,MK Andersson,33,All-Rounder,Middlesex,45.03244541067301
1415083,bdc0670a,LBK Hollman,19,All-Rounder,Middlesex,49.254970722137195
1415084,ac3c3cab,TAR Scriven,149,All-Rounder,Leicestershire,44.019752196875295
1415084,35f9a295,LJ Hill,102,Wicket-Keeper,Leicestershire,11.820318258485395
1415084,bfc60227,SG Budinger,97,Batsman,Leicestershire,25.42730240032973
1415084,29e95537,AM Rahane,90,Batsman,Leicestershire,17.34184839170949
1415084,2baad3bd,LW James,85,All-Rounder,Nottinghamshire,53.90759413009372
1415084,ed12fcd7,BWM Mike,58,Bowler,Leicestershire,47.30187435886003
1415084,353de846,FW McCann,51,All-Rounder,Nottinghamshire,1.047496500387494
1415084,324a6ee1,OB Cox,41,Wicket-Keeper,Leicestershire,23.05064441889864
1415084,95fd757d,HJ Swindells,40,Wicket-Keeper,Leicestershire,25.193068317425357
1415084,d48c0f40,LA Patterson-White,39,All-Rounder,Nottinghamshire,66.05793807201952
1415084,ada15e88,PSP Handscomb,38,Wicket-Keeper,Leicestershire,54.29337584275194
1415085,5bfdc77a,James Bracey,127,Wicket-Keeper,Gloucestershire,29.23235263305714
1415085,eafe8a94,BI Kellaway,124,Bowler,Glamorgan,60.79891500507632
1415085,03df7a25,DA Douthwaite,124,All-Rounder,Glamorgan,37.94644170076098
1415085,dbb15645,DC Goodman,96,Bowler,Gloucestershire,5.646138955506693
1415085,7d7233a9,AW Gorvin,88,Bowler,Glamorgan,42.93049612942762
1415085,27e60d6e,AS Dale,67,Bowler,Gloucestershire,33.220833977625766
1415085,ba377b40,GL van Buuren,67,All-Rounder,Gloucestershire,38.243384117988775
1415085,9e707e02,KS Carlson,44,All-Rounder,Glamorgan,73.03973654687071
