venue
Perth
Hobart
Unknown Venue
Brisbane
Victoria
Canberra
Belfast
Strabane
Dublin
Waringstown
Comber
Johannesburg
Durban
Paarl
Benoni
Bloemfontein
Potchefstroom
Port Elizabeth
Centurion
Kimberley
Cape Town
East London
Port Moresby
Amstelveen
Nairobi
Edinburgh
Londonderry
St Lucia
Guyana
Barbados
Jamaica
Christchurch
Nelson
Napier
Mount Maunganui
Wellington
Hamilton
Auckland
Dunedin
London
Birmingham
Cardiff
Antigua
Trinidad
Melbourne
Sydney
Albury
Bendigo
Bulawayo
St Kitts
Hong Kong
Bristol
Mirpur
Chittagong
Kanpur
Kolkata
Indore
Dharmasala
Delhi
Chandigarh
Ranchi
Visakhapatnam
Leeds
Southampton
Taunton
Nottingham
Manchester
Chester-le-Street
Southend-on-Sea
Rajkot
Mumbai
Chennai
Pune
Cuttack
Nagpur
Bangalore
Chelmsford
Alice Springs
Cox's Bazar
Lauderhill
Hyderabad
Coffs Harbour
Colombo
Stockholm
Abu Dhabi
Lincoln
Los Angeles
Bengaluru
Dharamsala
Dhaka
Chattogram
Launceston
Bangkok
Cheltenham
Worcester
Northampton
Chesterfield
Liverpool
Beckenham
Hove
Canterbury
Richmond
Leicester
Derby
Brighton
Gosforth
Market Warsop
Radlett
Blackpool
Eastbourne
Swansea
Southport
Guildford
Scarborough
Uxbridge
Colwyn Bay
Kirtipur
Sharjah
Dubai
Lahore
Dominica
Chiang Mai
Bready
Eglinton
Cork
Kampala
Loughborough
York
Arundel
Voorburg
Hambantota
Windhoek
Adelaide
Geelong
Whangarei
Stirling
Wollongong
Mackay
Rangiora
Alexandra
New Plymouth
Invercargill
Cairns
Guwahati
Thiruvananthapuram
Sylhet
Tunbridge Wells
Northwood
Oakham
Karachi
Vadodara
Harare
Kwekwe
Jaipur
Kuwait City
Rotterdam
Deventer
Lagos
Kuala Lumpur
Bangi
Bandar Kinrara
North Sound
Utrecht
Carrara
Moe
Burnie
Ballarat
Suva
The Hague
Schiedam
Pietermaritzburg
Morrisville
FTZ Sports Complex
Lucknow
Bridgetown
Gros Islet
St George's
Basseterre
Gaborone
Dasmarinas
Newport
Nettleworth
Kidderminster
Sedbergh
Chester
Derry
Al Amarat
Katunayake
Pretoria
Murcia
Port Vila
Castel
St Peter Port
Nuriootpa
Providence
Port of Spain
Kingston
Kigali City
Singapore
Galle
Kandy
Aberdeen
Dundee
Arbroath
Incheon
Coolidge
Surat
Rawalpindi
Almeria
Pokhara
Multan
Tarouba
Lower Austria
Walferdange
Ahmedabad
Welbeck
Grantham
Kibworth
Cambridge
Sale
Pallekele
Prague
Sofia
Marsa
Krefeld
Brondby
Albergaria
Kerava
Entebbe
Kolsva
Ilfov County
Gqeberha
Episkopi
Palmerston North
Naucalpan
Doha
Queenstown
Neath
Navi Mumbai
Ajman
Pearland
Roseau
Townsville
Dambulla
Ghent
Waterloo
St Saviour
Vantaa
Ayr
Glasgow
Belgrade
Latrobe
King City
St Martin
Sano
Osaka
Wormsley
Street
Newbury
Sookholme
Raipur
Phnom Penh
Buenos Aires
Mong Kok
Kowloon
Gibraltar
Kathmandu
Copenhagen
Milverton
St Clement
Grand Prairie
Dallas
Dehra Dun
Szodliget
Hangzhou
Bali
Wong Nai Chung Gap
Rugby
New York
Kingstown
Johor
Mohali
Accra
Houston
Solihull
Guacima
Wicklow
Dreux
Spinaceto
Rome
Gwalior
Port  Soif
Zagreb
Apia
Oslo
Koge
Dar-es-Salaam
Corfu
Seropedica
Gelephu
Blantyre
Jinja
St John's
St Vincent
Faisalabad
Peshawar
Bogra
Fatullah
Faridabad
Margao
Jamshedpur
Grenada
Kochi
Bowral
Sind
Darwin
Kurunegala
Toronto
Pianoro
Navile
Medicina
Khulna
Bermuda
Horsham
Colchester
Milton Keynes
Padang
Gold Coast
Frinton-on-Sea
Halstead
Coggeshall
Bishop's Stortford
